Entry,0,1,2,3,4,5,6,7,8,9,10,11,12,13
A1254,2.08576891877,2.85550235828,0.127515981022,-5.3980764442,4.59059039777,-0.481509890355,-0.000513017472589,0.955216350969,1.42446410667,0.754710118129,0.398739619821,0.893133073193,0.252363386441,1.49449444214
A1257,-3.44969403623,-1.92289318807,0.553162483248,-0.679324574551,-2.11467102719,-0.811900096864,3.30399099266,0.95000714909,-2.38855370001,-1.68034577726,1.07111127254,0.352456138588,2.40755769954,-1.98410390469
A1258,-1.05490437852,-1.72852517033,-5.05415692908,-4.83957316965,-3.69387720888,-0.226045843561,3.38604940326,-1.44798480148,-4.36541202062,1.49624767465,-2.30297295292,2.49159933011,-0.0415392528688,-0.667109738051
A1259,-7.31333463193,-8.27344940062,-1.71843591707,-3.69093276257,0.811351553379,-1.37746096649,0.0341500627576,1.26285199897,-0.258346256425,-1.74738825969,0.463521432094,-1.12206935816,-1.57808467295,1.93295124611
A1260,9.84543980171,-2.09960401629,-4.59982968089,3.38651408185,-0.484835470949,1.7388009036,-1.33136519303,2.52823531508,0.590984425033,0.647058937939,-1.25590739302,-0.446028425289,0.972182720903,-0.47833998701
A1261,3.07954976432,0.725699432969,1.88376485271,-1.6553865437,-0.354005302375,-6.92606327357,-2.08910729105,1.59820399299,-0.722568673059,0.506485516545,0.858254995289,-0.626553628143,4.12599130731,1.49087200492
A1262,-0.342047753048,1.09063281706,1.79363088128,6.41263385513,-4.04652084013,-1.21943914511,-1.6749457318,-3.57398570439,0.104575663033,2.28413692425,0.0271309154959,-0.895858714632,0.207991864862,0.620769864241
A1263,-0.0188782933651,0.755608586818,-0.664808385441,1.50508325148,2.39889924886,4.45911127066,-0.805878867692,-2.03372153108,0.500780900787,1.77650598911,-3.60573079712,-0.497777263437,-0.791160343022,4.11344689227
A1264,-4.11818866459,-7.10954913879,-2.13705790378,-1.0254760169,-0.843869409536,-1.02685938581,0.614754519331,2.39242299516,-3.0075997091,-0.688147394409,0.817867331221,0.770550270606,1.13088503257,-0.797232395724
A1265,3.63241000761,-4.6884915357,-2.01058350039,5.00270788421,-1.72189912808,-1.17196867894,2.69666439009,3.45091007048,0.729247004777,-1.71220245816,2.53525330484,2.49124661256,0.878947760858,-1.47248878266
